Date,MM_Long,MM_Short,MM_Spreading,SD_Long,SD_Short,SD_Spreading,OI_Total,LargeTrader_Long,LargeTrader_Short
2022-08-30,86070,91761,45959,79973,39811,14612,459165,18587,37607
2022-08-23,84037,95850,47144,73739,39072,14957,457762,16778,37841
2022-08-16,82580,96765,48802,60392,37551,14278,453960,17821,36640
2022-08-09,83302,100013,49401,59279,36807,12940,453540,13920,40776
2022-08-02,87907,96634,44218,80779,33380,13831,459649,18960,37023
2022-07-26,90911,92216,41222,111309,41752,16057,487515,19274,37662
2022-07-19,91690,91056,46644,109794,67378,21601,524786,21007,36255
2022-07-12,88915,91669,46218,97802,73944,18149,542493,33670,35203
2022-07-05,88196,103472,53894,86438,38833,15404,498210,29349,35708
2022-06-28,88706,110850,57758,74748,38340,13971,497005,28092,36271
2022-06-21,89736,113220,57208,63417,36961,13019,500276,30771,41415
2022-06-14,90077,109111,55975,72206,34898,14920,497456,28310,39792
2022-06-07,83943,115215,61112,57684,34946,16570,494130,27773,37404
2022-05-31,87433,112731,65269,61938,34212,19970,513722,28052,34932
2022-05-24,88932,121174,63194,60117,38533,21184,530098,31588,38272
2022-05-17,89655,115572,62025,72212,48635,24468,555756,35835,35439
2022-05-10,89722,123931,65143,61939,61863,22242,571447,36288,33693
2022-05-03,92223,128828,63612,60981,39883,23431,560441,45054,33290
2022-04-26,90532,138215,66838,57098,36063,22665,557785,32727,35389
2022-04-19,89457,157560,72545,56294,34469,22596,575202,25799,34694
2022-04-12,88326,165244,72001,48219,31725,20272,577639,26859,35658
2022-04-05,87989,148320,71333,46693,32241,18989,560666,27571,32336
2022-03-29,89623,146486,70315,38184,37384,18389,574521,27433,31852
2022-03-22,103016,152589,93799,37457,32756,28886,605191,35295,43171
2022-03-15,96765,165597,93725,39060,31328,26287,617605,34171,45883
2022-03-08,100587,181510,99813,38537,38554,23736,638502,39969,51693
2022-03-01,95700,187215,94503,38594,53992,18689,615600,29934,57961
2022-02-22,97911,183356,85658,44380,55800,14747,611488,26820,62568
2022-02-15,97299,151530,77522,43824,47013,13840,558645,24837,55832
2022-02-08,97101,117234,66144,47767,41506,12653,512842,20580,45086
2022-02-01,95639,108309,65627,58395,42396,13294,515331,22489,45457
2022-01-25,86207,140640,79264,39265,48912,13494,572078,28874,53999
2022-01-18,87223,119807,70150,48014,39932,19188,539204,29002,48307
2022-01-11,81976,119297,65710,44987,50002,15004,546516,41797,45378
2022-01-04,74428,124252,65049,44744,37276,11574,502717,19200,40484
2023-12-26,491343,13243,58256,261732,18308,152801,491343,443307,467934
2023-12-19,481203,12836,60852,254059,17706,155697,481203,433184,458903
2023-12-12,469939,13420,58535,243774,16209,149634,469939,423482,448057
2023-12-05,487469,12631,62325,253627,14186,159907,487469,439986,463387
2023-11-28,505658,14333,64941,244788,24459,169695,505658,460008,478516
2023-11-21,508429,14081,59990,225272,20910,144381,508429,464470,483000
2023-11-14,486634,12176,55241,217660,14846,132924,486634,441225,462868
2023-11-07,484347,10487,55470,223122,18150,140609,484347,438863,458738
2023-10-31,475808,11165,55350,217816,15512,140111,475808,431016,450298
2023-10-24,463476,10642,50787,206961,14305,122456,463476,421347,437835
2023-10-17,439581,11737,41703,182625,13733,104708,439581,398718,413979
2023-10-10,436499,19010,37437,163620,10712,93934,436499,392029,411024
2023-10-03,431226,16614,38810,175533,8305,100500,431226,385970,406726
2023-09-26,435620,13152,39819,196295,9566,114668,435620,390407,409428
2023-09-19,438078,15305,40593,210250,12103,121172,438078,394157,411926
2023-09-12,441221,17361,39709,205736,12427,117737,441221,394481,415427
2023-09-05,438672,17994,42368,215580,11747,120222,438672,392706,412939
2023-08-29,442806,20564,41031,203886,13809,120609,442806,399039,416361
2023-08-22,430239,18338,35940,190600,12142,105085,430239,384927,404017
2023-08-15,433611,17862,39392,207088,11512,113146,433611,389274,410068
2023-08-08,427759,15411,41861,229288,10295,114585,427759,382763,407332
2023-08-01,439383,16334,46546,244985,12924,123802,439383,396129,418050
2023-07-25,476176,16452,55396,245319,22986,132603,476176,428876,453447
2023-07-18,482104,14281,53555,259368,16290,147644,482104,436320,456687
2023-07-11,483170,13062,42136,248168,12235,124394,483170,436552,458547
2023-07-03,448063,13966,41391,247746,10485,123017,448063,402573,424193
2023-06-27,431861,11393,37626,244202,12561,108209,431861,383819,407244
2023-06-20,438037,13663,40542,254246,13168,110314,438037,390635,414197
2023-06-13,432898,14225,41384,252488,12651,110512,432898,383945,409798
2023-06-06,436301,13860,43638,259683,11229,120985,436301,388706,411252
2023-05-30,449515,12396,43768,251967,27599,122904,449515,405904,426593
2023-05-23,479080,18435,44860,260335,24812,128550,479080,429753,456044
2023-05-16,521832,18148,52362,277316,20201,139786,521832,466980,498723
2023-05-09,518951,18250,55018,285522,12960,143463,518951,466939,493640
2023-05-02,493804,18762,54293,280378,10364,143191,493804,446302,468319
2023-04-25,473209,17543,52563,274064,9819,135979,473209,422161,448825
2023-04-18,482254,17347,51291,279540,9090,137170,482254,431607,458139
2023-04-11,476567,16516,51449,277432,7377,135015,476567,427465,451268
2023-04-04,476592,15763,51702,275774,7643,142348,476592,427852,450886
2023-03-28,478611,15709,60038,250335,22921,130530,478611,431223,451101
2023-03-21,469874,14502,55788,237253,12205,125090,469874,422250,447213
2023-03-14,459064,11602,47669,219834,10394,118560,459064,417269,432378
2023-03-07,458474,11617,41216,184633,18465,103439,458474,414834,435280
2023-02-28,426890,12772,41995,192117,16766,99425,426890,384932,403826
2023-02-21,422648,10696,40479,191128,16788,104710,422648,378692,400946
2023-02-14,426116,12225,42118,192039,15727,106106,426116,380672,404215
2023-02-07,439755,15251,46233,212824,12711,115521,439755,391679,415830
2023-01-31,471642,14955,51775,232458,16434,138125,471642,427658,447897
2023-01-24,499927,12705,54314,230986,22673,131501,499927,452047,474928
2023-01-17,491818,14854,58789,222476,17462,124222,491818,443690,466363
2023-01-10,481519,12243,60946,212156,11094,116604,481519,435146,457089
2023-01-03,449393,13217,57119,206697,9678,109140,449393,407056,425364
2024-12-31,458584,9983,83344,229764,18587,182128,458584,411227,435244
2024-12-24,454646,9198,83987,230130,17355,186099,454646,406833,432540
2024-12-17,466571,9971,82426,245300,18519,201880,466571,418183,441375
2024-12-10,483346,11204,77649,263738,21509,218482,483346,436898,458183
2024-12-03,462040,10967,73308,256898,19320,203580,462040,413703,440242
2024-11-26,472660,14309,81389,238285,25223,203596,472660,426086,448268
2024-11-19,502952,13787,84104,226763,24914,193355,502952,450531,478486
2024-11-12,535981,13211,80667,234859,25403,203661,535981,479143,508274
2024-11-05,558034,13066,82429,253459,20458,219687,558034,505397,533127
2024-10-29,579468,12379,86999,269225,16382,234856,579468,526036,551054
2024-10-22,573760,12942,95037,282058,13851,242427,573760,519546,548043
2024-10-15,541232,13088,87786,281271,13629,233871,541232,490742,516966
2024-10-08,520316,12830,83981,277678,11274,227596,520316,468876,494672
2024-10-01,533107,12220,87446,295138,12039,247867,533107,479916,507509
2024-09-24,564640,13517,93547,305381,17491,256435,564640,511196,535512
2024-09-17,537627,12663,90250,303089,16435,241844,537627,484651,509712
2024-09-10,511501,12568,87942,284390,12799,213645,511501,460564,484962
2024-09-03,511136,11841,81470,297347,13486,212086,511136,459938,484267
2024-08-27,521759,10714,79098,306757,21566,217976,521759,467070,494944
2024-08-20,532867,15569,79564,305972,17202,222142,532867,479949,505202
2024-08-13,505872,16717,69652,294394,16769,203844,505872,455484,480722
2024-08-06,480645,16637,63782,278874,14820,180303,480645,429440,459725
2024-07-30,510914,19913,64678,283175,24019,185586,510914,460983,487239
2024-07-23,572306,15685,69900,305308,27954,197802,572306,518601,546452
2024-07-16,579862,23789,84107,311661,23577,216502,579862,526048,550328
2024-07-09,516324,14031,66422,290421,16693,181982,516324,465701,491555
2024-07-02,454730,14424,59169,279979,12556,167688,454730,407036,430292
2024-06-25,452190,15601,58204,287636,12199,174756,452190,403754,429013
2024-06-18,444345,15030,57588,281082,12500,177639,444345,396686,421332
2024-06-11,436857,15922,56729,275178,10778,168424,436857,386546,413131
2024-06-04,447488,15962,55848,282783,10718,172560,447488,397681,426310
2024-05-28,485430,18542,59186,289454,21491,174444,485430,433902,458267
2024-05-21,530591,20490,57460,297864,21853,190605,530591,475327,504184
2024-05-14,522952,35446,65005,277761,22927,171868,522952,470319,497933
2024-05-07,529835,35488,67658,268227,16280,164780,529835,475134,502833
2024-04-30,519791,37917,68644,269856,15923,171853,519791,469517,492805
2024-04-23,516249,37917,70510,270152,15293,176400,516249,467335,491316
2024-04-16,517193,37797,71700,266867,16875,169910,517193,466948,487783
2024-04-09,505214,34191,76217,261784,14675,174617,505214,453655,475818
2024-04-02,500045,32235,77122,261044,14662,173073,500045,451114,469578
2024-03-26,503642,32765,80270,251256,28588,163006,503642,455638,474684
2024-03-19,535047,32136,81346,245387,28899,172588,535047,485916,501844
2024-03-12,516057,30471,78911,244909,23885,173994,516057,468065,484736
2024-03-05,471616,11650,60537,234914,15364,145106,471616,426834,442333
2024-02-27,411195,11378,51050,197423,18311,103885,411195,372252,388968
2024-02-20,407063,10614,49065,198940,17825,98840,407063,365217,384366
2024-02-13,420812,15888,48131,199591,14787,100642,420812,376584,398396
2024-02-06,419121,14285,50903,221357,12325,114316,419121,377258,395761
2024-01-30,430328,15272,49631,214041,24371,108093,430328,384964,407691
2024-01-23,465872,13724,52673,231679,20835,111298,465872,420228,442847
2024-01-16,489334,12864,53418,242657,20632,130931,489334,439694,467221
2024-01-09,489849,11949,56950,250913,16327,134333,489849,439275,468362
2024-01-02,500364,13674,55375,269894,19013,154384,500364,451164,478993
2025-12-09,432569,10463,59856,247742,18688,143383,432569,377084,415777
2025-12-02,418490,10094,58801,240501,16193,140143,418490,362678,400466
2025-11-25,432946,9950,56642,233755,33663,136979,432946,379173,415988
2025-11-18,471953,10061,68958,231635,41993,130222,471953,417714,452960
2025-11-10,459997,9875,68621,229253,34025,134155,459997,403255,441009
2025-11-04,450399,9805,69256,224286,31355,130688,450399,396738,430973
2025-10-28,457122,12403,70597,227143,28940,138605,457122,404380,436743
2025-10-21,472421,13924,71702,209171,37091,135503,472421,416500,450008
2025-10-14,485788,14094,75551,226728,26615,152187,485788,426529,459480
2025-10-07,485559,12169,77521,243978,19872,170587,485559,428985,460801
2025-09-30,493748,10432,75829,263877,17402,184199,493748,436224,471552
2025-09-23,528789,11851,79003,280869,21502,198826,528789,471106,502760
2025-09-16,516221,10992,76376,283452,20410,195347,516221,455349,491310
2025-09-09,509625,9864,72418,259108,15699,198907,509625,450635,462270
